IP 地址,端口,TLS,Region,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.96.136,443,TRUE,California,4,4,0,197.94,19.63
104.18.95.43,443,TRUE,California,4,4,0,186.84,18.27
104.18.98.253,443,TRUE,California,4,4,0,196.49,18.14
104.18.91.20,443,TRUE,California,4,4,0,186.49,18.1
104.18.89.61,443,TRUE,California,4,4,0,165.03,17.75
104.18.99.69,443,TRUE,California,4,4,0,165.66,17.71
104.18.102.243,443,TRUE,California,4,4,0,180.16,17.54
104.18.92.245,443,TRUE,California,4,4,0,186.55,17.44
104.18.93.107,443,TRUE,California,4,4,0,165.71,17.38
104.18.96.79,443,TRUE,California,4,4,0,195.35,17.14
104.18.97.25,443,TRUE,California,4,4,0,198.53,17.07
104.18.102.5,443,TRUE,California,4,4,0,164.68,16.96
104.18.89.75,443,TRUE,California,4,4,0,191.25,16.93
104.18.100.224,443,TRUE,California,4,4,0,184.44,16.85
104.18.100.86,443,TRUE,California,4,4,0,195.47,16.76
104.18.93.207,443,TRUE,California,4,4,0,182.75,16.74
104.18.97.76,443,TRUE,California,4,4,0,187.54,16.74
104.18.89.159,443,TRUE,California,4,4,0,184.81,16.72
104.18.102.42,443,TRUE,California,4,4,0,186.89,16.64
104.18.97.85,443,TRUE,California,4,4,0,187.64,16.61
104.18.100.130,443,TRUE,California,4,4,0,195.72,16.6
104.18.90.215,443,TRUE,California,4,4,0,194.96,16.6
104.18.97.218,443,TRUE,California,4,4,0,186.61,16.58
104.18.89.193,443,TRUE,California,4,4,0,186.58,16.56
104.18.101.52,443,TRUE,California,4,4,0,182.6,16.56
104.18.97.206,443,TRUE,California,4,4,0,183.7,16.54
104.18.89.238,443,TRUE,California,4,4,0,195.4,16.41
104.18.103.16,443,TRUE,California,4,4,0,180.72,16.29
104.18.93.145,443,TRUE,California,4,4,0,192.11,16.25
104.18.95.31,443,TRUE,California,4,4,0,186.75,16.14
104.18.98.171,443,TRUE,California,4,4,0,197.38,16.11
104.18.103.30,443,TRUE,California,4,4,0,183.77,16.11
104.18.92.70,443,TRUE,California,4,4,0,179.48,16
104.18.91.88,443,TRUE,California,4,4,0,187.74,15.98
104.18.93.134,443,TRUE,California,4,4,0,195.72,15.94
104.18.103.32,443,TRUE,California,4,4,0,198.26,15.94
104.18.93.195,443,TRUE,California,4,4,0,182.46,15.92
104.18.103.19,443,TRUE,California,4,4,0,186.64,15.9
104.18.89.190,443,TRUE,California,4,4,0,187.81,15.87
104.18.95.51,443,TRUE,California,4,4,0,188.84,15.86
104.18.100.79,443,TRUE,California,4,4,0,188.73,15.86
104.18.102.206,443,TRUE,California,4,4,0,197.52,15.82
104.18.95.45,443,TRUE,California,4,4,0,198.37,15.81
104.18.95.50,443,TRUE,California,4,4,0,180.21,15.8
104.18.94.218,443,TRUE,California,4,4,0,185.45,15.79
104.18.92.215,443,TRUE,California,4,4,0,186.48,15.76
104.18.99.174,443,TRUE,California,4,4,0,176.87,15.74
104.18.95.60,443,TRUE,California,4,4,0,207.39,15.73
104.18.92.1,443,TRUE,California,4,4,0,183.52,15.7
104.18.92.60,443,TRUE,California,4,4,0,180.28,15.66
104.18.94.155,443,TRUE,California,4,4,0,206.99,15.66
104.18.94.224,443,TRUE,California,4,4,0,182.94,15.65
104.18.94.223,443,TRUE,California,4,4,0,179.92,15.63
104.18.95.35,443,TRUE,California,4,4,0,183.74,15.63
104.18.93.138,443,TRUE,California,4,4,0,190.18,15.62
104.18.91.19,443,TRUE,California,4,4,0,195.77,15.62
104.18.91.166,443,TRUE,California,4,4,0,187.46,15.61
