IP 地址,端口,TLS,Region,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.173.202,443,TRUE,California,4,4,0,197.94,19.63
104.19.173.156,443,TRUE,California,4,4,0,186.84,18.27
104.19.176.115,443,TRUE,California,4,4,0,196.49,18.14
104.19.176.248,443,TRUE,California,4,4,0,186.49,18.1
104.19.179.215,443,TRUE,California,4,4,0,165.03,17.75
104.19.164.38,443,TRUE,California,4,4,0,165.66,17.71
104.19.176.238,443,TRUE,California,4,4,0,180.16,17.54
104.19.174.136,443,TRUE,California,4,4,0,186.55,17.44
104.19.179.210,443,TRUE,California,4,4,0,165.71,17.38
104.19.163.213,443,TRUE,California,4,4,0,195.35,17.14
104.19.172.38,443,TRUE,California,4,4,0,198.53,17.07
104.19.179.235,443,TRUE,California,4,4,0,164.68,16.96
104.19.165.231,443,TRUE,California,4,4,0,191.25,16.93
104.19.176.40,443,TRUE,California,4,4,0,184.44,16.85
104.19.169.33,443,TRUE,California,4,4,0,195.47,16.76
104.19.169.215,443,TRUE,California,4,4,0,182.75,16.74
104.19.174.66,443,TRUE,California,4,4,0,187.54,16.74
104.19.172.47,443,TRUE,California,4,4,0,184.81,16.72
104.19.175.251,443,TRUE,California,4,4,0,186.89,16.64
104.19.169.167,443,TRUE,California,4,4,0,187.64,16.61
104.19.164.87,443,TRUE,California,4,4,0,195.72,16.6
104.19.173.118,443,TRUE,California,4,4,0,194.96,16.6
104.19.176.94,443,TRUE,California,4,4,0,186.61,16.58
104.19.173.194,443,TRUE,California,4,4,0,186.58,16.56
104.19.165.81,443,TRUE,California,4,4,0,182.6,16.56
104.19.166.73,443,TRUE,California,4,4,0,183.7,16.54
104.19.179.164,443,TRUE,California,4,4,0,195.4,16.41
104.19.176.201,443,TRUE,California,4,4,0,180.72,16.29
104.19.169.83,443,TRUE,California,4,4,0,192.11,16.25
104.19.178.62,443,TRUE,California,4,4,0,186.75,16.14
104.19.170.250,443,TRUE,California,4,4,0,197.38,16.11
104.19.170.239,443,TRUE,California,4,4,0,183.77,16.11
104.19.175.217,443,TRUE,California,4,4,0,179.48,16
104.19.166.39,443,TRUE,California,4,4,0,187.74,15.98
104.19.169.42,443,TRUE,California,4,4,0,195.72,15.94
104.19.179.241,443,TRUE,California,4,4,0,198.26,15.94
104.19.168.38,443,TRUE,California,4,4,0,182.46,15.92
104.19.165.177,443,TRUE,California,4,4,0,186.64,15.9
104.19.178.196,443,TRUE,California,4,4,0,187.81,15.87
104.19.167.109,443,TRUE,California,4,4,0,188.84,15.86
104.19.175.121,443,TRUE,California,4,4,0,188.73,15.86
104.19.169.23,443,TRUE,California,4,4,0,197.52,15.82
104.19.170.205,443,TRUE,California,4,4,0,198.37,15.81
104.19.172.247,443,TRUE,California,4,4,0,180.21,15.8
104.19.175.105,443,TRUE,California,4,4,0,185.45,15.79
104.19.166.0,443,TRUE,California,4,4,0,186.48,15.76
104.19.167.219,443,TRUE,California,4,4,0,176.87,15.74
104.19.171.125,443,TRUE,California,4,4,0,207.39,15.73
104.19.175.65,443,TRUE,California,4,4,0,183.52,15.7
104.19.176.141,443,TRUE,California,4,4,0,180.28,15.66
104.19.168.35,443,TRUE,California,4,4,0,206.99,15.66
104.19.175.104,443,TRUE,California,4,4,0,182.94,15.65
104.19.165.1,443,TRUE,California,4,4,0,179.92,15.63
104.19.172.133,443,TRUE,California,4,4,0,183.74,15.63
104.19.169.171,443,TRUE,California,4,4,0,190.18,15.62
104.19.173.128,443,TRUE,California,4,4,0,195.77,15.62
104.19.174.98,443,TRUE,California,4,4,0,187.46,15.61
104.19.175.44,443,TRUE,California,4,4,0,198.09,15.6
104.19.175.238,443,TRUE,California,4,4,0,184.12,15.6
104.19.166.74,443,TRUE,California,4,4,0,186.5,15.6
104.19.173.151,443,TRUE,California,4,4,0,181.24,15.59
104.19.175.100,443,TRUE,California,4,4,0,183.77,15.58
104.19.176.104,443,TRUE,California,4,4,0,186.63,15.58
104.19.171.253,443,TRUE,California,4,4,0,199.51,15.57
104.19.172.147,443,TRUE,California,4,4,0,196.27,15.56
104.19.171.89,443,TRUE,California,4,4,0,197.58,15.54
104.19.166.124,443,TRUE,California,4,4,0,187.52,15.53
104.19.179.198,443,TRUE,California,4,4,0,187.61,15.52
104.19.167.174,443,TRUE,California,4,4,0,183.23,15.5
104.19.166.180,443,TRUE,California,4,4,0,183.24,15.47
104.19.166.71,443,TRUE,California,4,4,0,184.45,15.44
104.19.174.97,443,TRUE,California,4,4,0,193.16,15.41
104.19.178.224,443,TRUE,California,4,4,0,195.95,15.39
104.19.176.110,443,TRUE,California,4,4,0,184.75,15.38
104.19.173.177,443,TRUE,California,4,4,0,189.16,15.37
104.19.178.225,443,TRUE,California,4,4,0,184.84,15.37
104.19.168.194,443,TRUE,California,4,4,0,198.38,15.36
104.19.173.4,443,TRUE,California,4,4,0,184.11,15.36
104.19.167.2,443,TRUE,California,4,4,0,182.86,15.35
104.19.173.101,443,TRUE,California,4,4,0,183.2,15.34
104.19.169.180,443,TRUE,California,4,4,0,192.97,15.34
104.19.178.230,443,TRUE,California,4,4,0,186.97,15.32
104.19.177.177,443,TRUE,California,4,4,0,208,15.31
104.19.167.203,443,TRUE,California,4,4,0,180.91,15.31
104.19.169.62,443,TRUE,California,4,4,0,198.25,15.3
104.19.166.15,443,TRUE,California,4,4,0,175.78,15.3
